"","dbn","location_category_description","longitude","latitude","school_name","total_enrollment","n_female","p_female","n_male","p_male","n_asian","p_asian","n_black","p_black","n_hispanic","p_hispanic","n_multi_racial","p_multi_racial","n_native_american","p_native_american","n_white","p_white","n_missing_race_ethnicity_data","p_missing_race_ethnicity_data","n_students_with_disabilities","p_students_with_disabilities","n_english_language_learners","p_english_language_learners","n_poverty","p_poverty","economic_need_index","row_id"
"425","14K582","Junior High-Intermediate-Middle",-73.939385,40.708804,"M.S. 582",329,146,44.4,183,55.6,4,1.2,87,26.4,230,69.9,3,0.9,1,0.3,4,1.2,0,0,106,32.2,38,11.6,"278",84.5,88.3,425
"426","19K583","High school",-73.869305,40.693002,"Multicultural High School",299,137,45.8,162,54.2,0,0,10,3.3,289,96.7,0,0,0,0,0,0,0,0,3,1,257,86,"272",91,95,426
"427","14K586","Secondary School",-73.944463,40.709765,"Lyons Community School",431,211,49,220,51,3,0.7,145,33.6,271,62.9,2,0.5,0,0,10,2.3,0,0,117,27.1,37,8.6,"394",91.4,92,427
"428","18K588","Junior High-Intermediate-Middle",-73.919818,40.657712,"Middle School for Art and Philosophy",165,92,55.8,73,44.2,2,1.2,145,87.9,13,7.9,0,0,2,1.2,3,1.8,0,0,57,34.5,11,6.7,"146",88.5,83.3,428
"429","17K590","Secondary School",-73.951823,40.66679,"Medgar Evers College Preparatory School",1414,796,56.3,618,43.7,37,2.6,1227,86.8,70,5,4,0.3,37,2.6,12,0.8,27,1.9,91,6.4,3,0.2,"1,071",75.7,55.3,429
"430","15K592","High school",-73.979829,40.686147,"Khalil Gibran International Academy",189,82,43.4,107,56.6,37,19.6,67,35.4,29,15.3,3,1.6,5,2.6,46,24.3,2,1.1,39,20.6,69,36.5,"165",87.3,91.8,430
"431","84K593","K-8",-73.925851,40.683446,"Excellence Boys Charter School",724,3,0.4,721,99.6,29,4,570,78.7,86,11.9,14,1.9,11,1.5,12,1.7,2,0.3,160,22.1,19,2.6,"597",82.5,73.9,431
"432","13K594","High school",-73.961636,40.678591,"Gotham Professional Arts Academy",152,90,59.2,62,40.8,2,1.3,120,78.9,29,19.1,0,0,0,0,1,0.7,0,0,48,31.6,3,2,"122",80.3,84.1,432
"433","13K595","High school",-73.953692,40.685486,"Bedford Academy High School",392,207,52.8,185,47.2,15,3.8,308,78.6,34,8.7,3,0.8,5,1.3,15,3.8,12,3.1,52,13.3,2,0.5,"316",80.6,63.9,433
"434","23K599","Elementary",-73.910719,40.680679,"Brooklyn Landmark Elementary School",411,205,49.9,206,50.1,13,3.2,300,73,87,21.2,4,1,3,0.7,4,1,0,0,82,20,15,3.6,"317",77.1,81.8,434
"435","17K600","High school",-73.960689,40.669805,"Clara Barton High School",1253,966,77.1,287,22.9,18,1.4,1098,87.6,106,8.5,2,0.2,9,0.7,15,1.2,5,0.4,216,17.2,88,7,"905",72.2,77.1,435
"436","13K605","High school",-73.986105,40.695444,"George Westinghouse Career and Technical Education",753,235,31.2,518,68.8,30,4,509,67.6,187,24.8,1,0.1,5,0.7,12,1.6,9,1.2,145,19.3,28,3.7,"596",79.2,78.2,436
"437","13K605","High school",-73.986105,40.695444,"George Westinghouse Career and Technical Education",753,235,31.2,518,68.8,30,4,509,67.6,187,24.8,1,0.1,5,0.7,12,1.6,9,1.2,145,19.3,28,3.7,"596",79.2,78.2,437
"438","84K608","K-12 all grades",-73.919818,40.657712,"Kings Collegiate Charter School",1005,480,47.8,525,52.2,3,0.3,897,89.3,84,8.4,6,0.6,10,1,5,0.5,0,0,128,12.7,18,1.8,"826",82.2,74.4,438
"439","20K609","Secondary School",-73.982424,40.6351,"Urban Assembly School for Leadership and Empowerme",559,559,100,0,0,284,50.8,64,11.4,105,18.8,7,1.3,4,0.7,93,16.6,2,0.4,76,13.6,72,12.9,"494",88.4,88.3,439
"440","14K610","High school",-73.953328,40.721448,"A-Tech High School",304,26,8.6,278,91.4,7,2.3,134,44.1,144,47.4,0,0,6,2,10,3.3,3,1,106,34.9,14,4.6,"249",81.9,83,440
"441","22K611","High school",-73.936635,40.593157,"Origins High School",407,201,49.4,206,50.6,90,22.1,122,30,53,13,1,0.2,5,1.2,133,32.7,3,0.7,48,11.8,117,28.7,"332",81.6,84.1,441
"442","14K614","Secondary School",-73.93879,40.705005,"Young Women's Leadership School of Brooklyn",385,385,100,0,0,12,3.1,170,44.2,179,46.5,1,0.3,6,1.6,11,2.9,6,1.6,85,22.1,29,7.5,"316",82.1,83.9,442
"443","19K615","High school",-73.875328,40.67878,"Transit Tech Career and Technical Education High S",715,104,14.5,611,85.5,48,6.7,424,59.3,200,28,3,0.4,19,2.7,14,2,7,1,189,26.4,47,6.6,"574",80.3,80.9,443
"444","13K616","High school",-73.95818,40.692015,"Brooklyn High School for Leadership and Community",177,80,45.2,97,54.8,4,2.3,126,71.2,37,20.9,1,0.6,2,1.1,5,2.8,2,1.1,44,24.9,4,2.3,"151",85.3,89,444
"445","18K617","High school",-73.898601,40.640543,"High School for Innovation in Advertising and Medi",208,43,20.7,165,79.3,5,2.4,173,83.2,18,8.7,0,0,2,1,9,4.3,1,0.5,49,23.6,11,5.3,"164",78.8,78.2,445
"446","19K618","High school",-73.869305,40.693002,"Academy of Innovative Technology",445,90,20.2,355,79.8,26,5.8,158,35.5,234,52.6,3,0.7,7,1.6,9,2,8,1.8,101,22.7,41,9.2,"378",84.9,79.9,446
"447","21K620","High school",-73.963764,40.583263,"William E. Grady Career and Technical Education Hi",453,120,26.5,333,73.5,23,5.1,230,50.8,123,27.2,5,1.1,3,0.7,68,15,1,0.2,170,37.5,36,7.9,"400",88.3,84.7,447
"448","84K626","K-12 all grades",-73.912685,40.674456,"Achievement First Brownsville Charter School",1178,628,53.3,550,46.7,18,1.5,975,82.8,167,14.2,3,0.3,10,0.8,5,0.4,0,0,133,11.3,31,2.6,"962",81.7,80.1,448
"449","16K627","Elementary",-73.941278,40.693654,"Brighter Choice Community School",314,171,54.5,143,45.5,2,0.6,173,55.1,110,35,7,2.2,3,1,19,6.1,0,0,58,18.5,15,4.8,"231",73.6,76.1,449
"450","16K628","Elementary",-73.935891,40.681528,"Brooklyn Brownstone School",292,156,53.4,136,46.6,4,1.4,225,77.1,33,11.3,6,2.1,2,0.7,22,7.5,0,0,49,16.8,1,0.3,"187",64,59.8,450
"451","18K629","High school",-73.922212,40.647728,"Cultural Academy for the Arts and Sciences",251,122,48.6,129,51.4,4,1.6,212,84.5,23,9.2,4,1.6,5,2,3,1.2,0,0,54,21.5,21,8.4,"200",79.7,76.7,451
"452","22K630","High school",-73.936635,40.593157,"Professional Pathways High School",206,81,39.3,125,60.7,21,10.2,49,23.8,80,38.8,1,0.5,1,0.5,54,26.2,0,0,44,21.4,10,4.9,"167",81.1,75.6,452
"453","18K633","High school",-73.898601,40.640543,"High School for Medical Professions",454,299,65.9,155,34.1,9,2,369,81.3,54,11.9,3,0.7,5,1.1,12,2.6,2,0.4,65,14.3,24,5.3,"392",86.3,77.2,453
"454","18K635","High school",-73.898607,40.645965,"Olympus Academy",191,84,44,107,56,3,1.6,166,86.9,19,9.9,0,0,0,0,3,1.6,0,0,48,25.1,4,2.1,"160",83.8,72.7,454
"455","18K635","High school",-73.898607,40.645965,"Olympus Academy",191,84,44,107,56,3,1.6,166,86.9,19,9.9,0,0,0,0,3,1.6,0,0,48,25.1,4,2.1,"160",83.8,72.7,455
"456","18K637","High school",-73.916927,40.634451,"Academy for Conservation and the Environment",306,114,37.3,192,62.7,19,6.2,226,73.9,38,12.4,1,0.3,3,1,19,6.2,0,0,58,19,32,10.5,"247",80.7,80.1,456
"457","19K639","High school",-73.869305,40.693002,"Brooklyn Lab School",437,163,37.3,274,62.7,49,11.2,109,24.9,250,57.2,1,0.2,9,2.1,17,3.9,2,0.5,86,19.7,127,29.1,"383",87.6,91.1,457
"458","18K642","High school",-73.898601,40.640543,"Urban Action Academy",209,78,37.3,131,62.7,6,2.9,159,76.1,27,12.9,0,0,0,0,17,8.1,0,0,40,19.1,40,19.1,"192",91.9,84.3,458
"459","23K643","High school",-73.906662,40.655644,"Brooklyn Democracy Academy",196,79,40.3,117,59.7,3,1.5,156,79.6,33,16.8,0,0,4,2,0,0,0,0,60,30.6,8,4.1,"164",83.7,86.5,459
"460","23K644","Secondary School",-73.915106,40.678124,"Eagle Academy for Young Men II",635,0,0,635,100,2,0.3,560,88.2,61,9.6,1,0.2,5,0.8,3,0.5,3,0.5,188,29.6,3,0.5,"505",79.5,76.8,460
"461","17K646","High school",-73.955188,40.669561,"Aspirations Diploma Plus High School",200,86,43,114,57,1,0.5,167,83.5,26,13,1,0.5,3,1.5,2,1,0,0,52,26,5,2.5,"165",82.5,83.1,461
"462","23K647","High school",-73.906662,40.655644,"Metropolitan Diploma Plus High School",191,76,39.8,115,60.2,3,1.6,154,80.6,27,14.1,2,1,2,1,3,1.6,0,0,69,36.1,11,5.8,"176",92.1,89.7,462
"463","84K648","Secondary School",-73.932066,40.68797,"Bedford Stuyvesant Collegiate Charter School",348,183,52.6,165,47.4,9,2.6,200,57.5,128,36.8,3,0.9,4,1.1,4,1.1,0,0,59,17,23,6.6,"291",83.6,79,463
"464","84K649","Elementary",-73.932066,40.68797,"La Cima Charter School",329,175,53.2,154,46.8,4,1.2,195,59.3,117,35.6,1,0.3,10,3,2,0.6,0,0,58,17.6,52,15.8,"293",89.1,86.4,464
"465","84K651","K-8",-74.003372,40.675936,"PAVE Academy Charter School",514,268,52.1,246,47.9,9,1.8,203,39.5,288,56,1,0.2,0,0,13,2.5,0,0,111,21.6,54,10.5,"451",87.7,88.3,465
"466","84K652","K-12 all grades",-73.92044,40.661945,"Brooklyn Ascend Charter School",1583,767,48.5,816,51.5,11,0.7,1446,91.3,90,5.7,7,0.4,22,1.4,6,0.4,1,0.1,202,12.8,19,1.2,"1,255",79.3,76.2,466
"467","19K654","Junior High-Intermediate-Middle",-73.885704,40.659934,"Van Siclen Community Middle School",290,127,43.8,163,56.2,6,2.1,198,68.3,77,26.6,0,0,0,0,9,3.1,0,0,102,35.2,25,8.6,"Above 95%",95,93.7,467
"468","15K656","High school",-73.980266,40.683951,"Brooklyn High School of the Arts",930,693,74.5,237,25.5,33,3.5,592,63.7,215,23.1,11,1.2,4,0.4,45,4.8,30,3.2,172,18.5,13,1.4,"616",66.2,66.3,468
"469","19K659","High school",-73.869305,40.693002,"Cypress Hills Collegiate Preparatory School",348,161,46.3,187,53.7,43,12.4,52,14.9,241,69.3,0,0,2,0.6,8,2.3,2,0.6,65,18.7,61,17.5,"321",92.2,85.8,469
"470","19K660","High school",-73.895976,40.673766,"W. H. Maxwell Career and Technical Education High",396,268,67.7,128,32.3,7,1.8,250,63.1,122,30.8,1,0.3,5,1.3,11,2.8,0,0,139,35.1,47,11.9,"373",94.2,91.2,470
"471","19K661","Junior High-Intermediate-Middle",-73.884211,40.677112,"Vista Academy",474,222,46.8,252,53.2,31,6.5,114,24.1,308,65,2,0.4,10,2.1,8,1.7,1,0.2,97,20.5,43,9.1,"Above 95%",95,87.4,471
"472","19K662","Junior High-Intermediate-Middle",-73.884211,40.677112,"Liberty Avenue Middle School",514,253,49.2,261,50.8,22,4.3,122,23.7,351,68.3,1,0.2,11,2.1,7,1.4,0,0,113,22,90,17.5,"Above 95%",95,88.9,472
"473","19K663","Junior High-Intermediate-Middle",-73.897604,40.665446,"School of the Future Brooklyn",172,94,54.7,78,45.3,3,1.7,108,62.8,50,29.1,0,0,3,1.7,8,4.7,0,0,61,35.5,26,15.1,"Above 95%",95,94.1,473
"474","23K664","Junior High-Intermediate-Middle",-73.910719,40.680679,"Brooklyn Environmental Exploration School (BEES)",179,84,46.9,95,53.1,0,0,131,73.2,41,22.9,1,0.6,5,2.8,1,0.6,0,0,77,43,10,5.6,"162",90.5,91,474
"475","15K667","High school",-74.004342,40.655583,"Sunset Park High School",1239,573,46.2,666,53.8,139,11.2,86,6.9,901,72.7,4,0.3,4,0.3,100,8.1,5,0.4,226,18.2,253,20.4,"1,063",85.8,88.7,475
"476","23K668","Junior High-Intermediate-Middle",-73.913508,40.659618,"Riverdale Avenue Middle School",142,71,50,71,50,4,2.8,99,69.7,31,21.8,0,0,5,3.5,3,2.1,0,0,48,33.8,12,8.5,"Above 95%",95,95,476
"477","16K669","High school",-73.931604,40.678478,"Research and Service High School",321,141,43.9,180,56.1,1,0.3,250,77.9,59,18.4,2,0.6,1,0.3,8,2.5,0,0,108,33.6,11,3.4,"279",86.9,88.6,477
"478","13K670","High school",-73.968759,40.695389,"Benjamin Banneker Academy",815,420,51.5,395,48.5,42,5.2,644,79,101,12.4,0,0,8,1,6,0.7,14,1.7,112,13.7,11,1.3,"609",74.7,70.7,478
"479","23K671","Junior High-Intermediate-Middle",-73.911279,40.666187,"Mott Hall Bridges Academy",203,103,50.7,100,49.3,1,0.5,164,80.8,36,17.7,0,0,1,0.5,1,0.5,0,0,60,29.6,2,1,"Above 95%",95,92.8,479
"480","18K673","High school",-73.920658,40.659914,"East Brooklyn Community High School",196,74,37.8,122,62.2,3,1.5,160,81.6,30,15.3,1,0.5,0,0,2,1,0,0,81,41.3,9,4.6,"157",80.1,83.5,480
"481","13K674","High school",-73.986105,40.695444,"City Polytechnic High School of Engineering, Archi",433,71,16.4,362,83.6,29,6.7,265,61.2,106,24.5,4,0.9,2,0.5,27,6.2,0,0,77,17.8,11,2.5,"339",78.3,66.5,481
"482","13K674","High school",-73.986105,40.695444,"City Polytechnic High School of Engineering, Archi",433,71,16.4,362,83.6,29,6.7,265,61.2,106,24.5,4,0.9,2,0.5,27,6.2,0,0,77,17.8,11,2.5,"339",78.3,66.5,482
"483","15K676","Elementary",-74.005151,40.677914,"Red Hook Neighborhood School",107,55,51.4,52,48.6,1,0.9,52,48.6,51,47.7,0,0,1,0.9,2,1.9,0,0,46,43,14,13.1,"Above 95%",95,95,483
"484","19K677","Elementary",-73.879131,40.669358,"East New York Elementary School of Excellence",500,245,49,255,51,30,6,242,48.4,206,41.2,9,1.8,10,2,2,0.4,1,0.2,99,19.8,66,13.2,"466",93.2,93.7,484
"485","19K678","Junior High-Intermediate-Middle",-73.879131,40.669358,"East New York Middle School of Excellence",260,118,45.4,142,54.6,7,2.7,136,52.3,106,40.8,2,0.8,2,0.8,7,2.7,0,0,72,27.7,30,11.5,"Above 95%",95,92.6,485
"486","84K680","Elementary",-73.876084,40.665817,"Achievement First Aspire Charter School",787,425,54,362,46,14,1.8,574,72.9,175,22.2,7,0.9,12,1.5,3,0.4,2,0.3,92,11.7,28,3.6,"648",82.3,81.1,486
"487","16K681","Junior High-Intermediate-Middle",-73.9317,40.6921,"Madiba Prep Middle School",224,105,46.9,119,53.1,6,2.7,152,67.9,61,27.2,1,0.4,1,0.4,3,1.3,0,0,80,35.7,11,4.9,"206",92,91.1,487
"488","16K681","Junior High-Intermediate-Middle",-73.9317,40.6921,"Madiba Prep Middle School",224,105,46.9,119,53.1,6,2.7,152,67.9,61,27.2,1,0.4,1,0.4,3,1.3,0,0,80,35.7,11,4.9,"206",92,91.1,488
"489","20K682","Elementary",-73.986678,40.606994,"The Academy of Talented Scholars",419,191,45.6,228,54.4,108,25.8,13,3.1,38,9.1,6,1.4,0,0,254,60.6,0,0,110,26.3,69,16.5,"196",46.8,48.4,489
"490","19K683","High school",-73.874537,40.67002,"School for Classics High School",264,140,53,124,47,33,12.5,107,40.5,104,39.4,1,0.4,7,2.7,11,4.2,1,0.4,52,19.7,74,28,"233",88.3,91.4,490
"491","15K684","High school",-73.97858,40.669255,"Millennium Brooklyn HS",684,390,57,294,43,99,14.5,96,14,119,17.4,11,1.6,2,0.3,316,46.2,41,6,105,15.4,1,0.1,"280",40.9,42.7,491
"492","14K685","High school",-73.955741,40.70554,"El Puente Academy for Peace and Justice",226,104,46,122,54,0,0,16,7.1,204,90.3,1,0.4,0,0,5,2.2,0,0,53,23.5,51,22.6,"199",88.1,91.8,492
"493","20K686","K-8",-73.986678,40.606994,"Brooklyn School of Inquiry",534,272,50.9,262,49.1,118,22.1,30,5.6,20,3.7,18,3.4,1,0.2,347,65,0,0,39,7.3,47,8.8,"155",29,32,493
"494","16K688","High school",-73.932254,40.691467,"The Brooklyn Academy of Global Finance",126,51,40.5,75,59.5,10,7.9,88,69.8,24,19,0,0,0,0,4,3.2,0,0,37,29.4,20,15.9,"Above 95%",95,91.7,494
"495","21K690","Secondary School",-73.995084,40.60498,"Brooklyn Studio Secondary School",926,446,48.2,480,51.8,198,21.4,28,3,278,30,5,0.5,3,0.3,402,43.4,12,1.3,192,20.7,146,15.8,"734",79.3,78.3,495
"496","13K691","Junior High-Intermediate-Middle",-73.971644,40.69453,"Fort Greene Preparatory Academy",209,97,46.4,112,53.6,9,4.3,147,70.3,45,21.5,3,1.4,2,1,3,1.4,0,0,65,31.1,12,5.7,"193",92.3,88.9,496
"497","84K693","High school",-73.947932,40.719818,"Northside Charter High School",392,216,55.1,176,44.9,5,1.3,59,15.1,295,75.3,0,0,0,0,25,6.4,8,2,80,20.4,17,4.3,"318",81.1,76.1,497
"498","23K697","Secondary School",-73.912102,40.665568,"Teachers Preparatory High School",163,69,42.3,94,57.7,7,4.3,120,73.6,28,17.2,0,0,1,0.6,7,4.3,0,0,71,43.6,18,11,"151",92.6,95,498
"499","15K698","High school",-74.014363,40.677968,"South Brooklyn Community High School",177,70,39.5,107,60.5,6,3.4,39,22,123,69.5,1,0.6,5,2.8,3,1.7,0,0,79,44.6,21,11.9,"160",90.4,91.1,499
"500","84K701","Elementary",-73.947256,40.69447,"Brooklyn Charter School",220,110,50,110,50,3,1.4,166,75.5,42,19.1,0,0,4,1.8,5,2.3,0,0,35,15.9,11,5,"184",83.6,85.8,500
"501","84K702","K-8",-73.961134,40.691275,"Community Partnership Charter School",399,198,49.6,201,50.4,4,1,284,71.2,86,21.6,2,0.5,19,4.8,4,1,0,0,83,20.8,11,2.8,"341",85.5,82.5,501
"502","84K704","K-8",-73.951575,40.656423,"Explore Charter School",552,290,52.5,262,47.5,1,0.2,424,76.8,108,19.6,5,0.9,9,1.6,5,0.9,0,0,81,14.7,48,8.7,"450",81.5,78.5,502
"503","17K705","Elementary",-73.960093,40.6771,"Brooklyn Arts and Science Elementary School",321,153,47.7,168,52.3,17,5.3,130,40.5,100,31.2,8,2.5,0,0,66,20.6,0,0,75,23.4,39,12.1,"220",68.5,62.4,503
"504","84K707","K-12 all grades",-73.97872,40.647893,"Brooklyn Prospect Charter School",702,320,45.6,382,54.4,62,8.8,118,16.8,216,30.8,22,3.1,2,0.3,276,39.3,6,0.9,136,19.4,11,1.6,"336",47.9,44.4,504
"505","84K710","Junior High-Intermediate-Middle",-73.90514,40.668768,"Brownsville Collegiate Charter School",276,128,46.4,148,53.6,2,0.7,183,66.3,80,29,0,0,7,2.5,3,1.1,1,0.4,54,19.6,22,8,"250",90.6,88.2,505
"506","84K711","K-8",-73.906662,40.655644,"Leadership Preparatory Brownsville Charter School",736,397,53.9,339,46.1,3,0.4,602,81.8,119,16.2,5,0.7,2,0.3,4,0.5,1,0.1,76,10.3,19,2.6,"676",91.8,85.8,506
"507","84K712","K-12 all grades",-73.924422,40.6881,"Excellence Girls Charter School",1382,1019,73.7,363,26.3,31,2.2,1041,75.3,245,17.7,8,0.6,39,2.8,18,1.3,0,0,205,14.8,29,2.1,"1,087",78.7,74.9,507
"508","75K721","High school",-73.981925,40.58807,"P.S. K721 - Brooklyn Occupational Training Center",469,174,37.1,295,62.9,57,12.2,168,35.8,114,24.3,0,0,7,1.5,123,26.2,0,0,469,100,149,31.8,"434",92.5,94.6,508
"509","17K722","Junior High-Intermediate-Middle",-73.936313,40.662092,"New Heights Middle School",248,107,43.1,141,56.9,0,0,199,80.2,28,11.3,3,1.2,10,4,8,3.2,0,0,73,29.4,16,6.5,"210",84.7,81.7,509
"510","84K724","K-8",-73.892797,40.644134,"Leadership Prep Canarsie Charter School (Leadershi",827,424,51.3,403,48.7,4,0.5,757,91.5,46,5.6,4,0.5,12,1.5,4,0.5,0,0,89,10.8,14,1.7,"649",78.5,64.1,510
"511","21K728","High school",-73.985413,40.576976,"Liberation Diploma Plus",223,104,46.6,119,53.4,8,3.6,95,42.6,90,40.4,2,0.9,0,0,25,11.2,3,1.3,88,39.5,12,5.4,"192",86.1,89.4,511
"512","84K730","Secondary School",-74.005151,40.677914,"Summit Academy Charter School",309,146,47.2,163,52.8,3,1,139,45,158,51.1,0,0,4,1.3,5,1.6,0,0,75,24.3,15,4.9,"256",82.8,87.2,512
"513","84K731","K-8",-73.925087,40.689569,"Brooklyn Excelsior Charter School",652,336,51.5,316,48.5,6,0.9,501,76.8,132,20.2,4,0.6,5,0.8,4,0.6,0,0,112,17.2,26,4,"571",87.6,83.3,513
"514","84K733","High school",-73.915217,40.695875,"Math, Engineering, and Science Academy Charter Hig",493,240,48.7,253,51.3,9,1.8,47,9.5,401,81.3,0,0,0,0,8,1.6,28,5.7,68,13.8,63,12.8,"402",81.5,81.9,514
"515","84K736","Elementary",-73.914282,40.651642,"New American Academy Charter School",328,171,52.1,157,47.9,2,0.6,294,89.6,21,6.4,2,0.6,4,1.2,5,1.5,0,0,51,15.5,9,2.7,"256",78,68,515
"516","84K737","K-8",-73.918123,40.668608,"Brownsville Ascend Charter School",1058,510,48.2,548,51.8,14,1.3,885,83.6,132,12.5,6,0.6,7,0.7,10,0.9,4,0.4,178,16.8,8,0.8,"912",86.2,84.7,516
"517","84K738","High school",-73.936635,40.593157,"New Visions Charter High School for Advanced Math",360,167,46.4,193,53.6,27,7.5,270,75,42,11.7,3,0.8,8,2.2,6,1.7,4,1.1,44,12.2,18,5,"280",77.8,68.5,517
"518","84K739","High school",-73.936635,40.593157,"New Visions Charter High School for the Humanities",193,107,55.4,86,44.6,0,0,160,82.9,26,13.5,0,0,1,0.5,4,2.1,2,1,39,20.2,10,5.2,"158",81.9,78.3,518
"519","84K740","K-8",-73.867138,40.669356,"Brooklyn Scholars Charter School",699,347,49.6,352,50.4,40,5.7,454,64.9,192,27.5,4,0.6,9,1.3,0,0,0,0,80,11.4,23,3.3,"619",88.6,80.9,519
"520","84K741","Elementary",-73.949243,40.665757,"Success Academy Charter School - Crown Heights",700,371,53,329,47,5,0.7,591,84.4,73,10.4,9,1.3,13,1.9,9,1.3,0,0,104,14.9,11,1.6,"431",61.6,69.6,520
"521","84K742","K-8",-73.928917,40.67271,"Explore Empower Charter School",491,229,46.6,262,53.4,3,0.6,429,87.4,52,10.6,2,0.4,3,0.6,2,0.4,0,0,101,20.6,13,2.6,"404",82.3,80.9,521
"522","84K744","K-12 all grades",-73.972009,40.582518,"Coney Island Preparatory Public Charter School",1019,461,45.2,558,54.8,93,9.1,378,37.1,375,36.8,9,0.9,6,0.6,158,15.5,0,0,229,22.5,64,6.3,"877",86.1,82.4,522
"523","84K744","K-12 all grades",-73.972009,40.582518,"Coney Island Preparatory Public Charter School",1019,461,45.2,558,54.8,93,9.1,378,37.1,375,36.8,9,0.9,6,0.6,158,15.5,0,0,229,22.5,64,6.3,"877",86.1,82.4,523
"524","17K745","High school",-73.943839,40.658671,"Brooklyn Institute for Liberal Arts",461,252,54.7,209,45.3,9,2,391,84.8,56,12.1,0,0,3,0.7,2,0.4,0,0,98,21.3,18,3.9,"396",85.9,76.9,524
"525","84K746","K-8",-73.914312,40.612258,"Hebrew Language Academy Charter School",658,343,52.1,315,47.9,13,2,430,65.3,53,8.1,4,0.6,2,0.3,156,23.7,0,0,119,18.1,51,7.8,"468",71.1,64.8,525
"526","20K748","Elementary",-74.007469,40.606739,"P.S. 748 Brooklyn School for Global Scholars",504,245,48.6,259,51.4,192,38.1,6,1.2,137,27.2,7,1.4,1,0.2,161,31.9,0,0,76,15.1,72,14.3,"389",77.2,71.6,526
"527","17K751","High school",-73.939282,40.675905,"Academy for Health Careers",277,204,73.6,73,26.4,13,4.7,221,79.8,36,13,0,0,2,0.7,1,0.4,4,1.4,41,14.8,10,3.6,"246",88.8,84.2,527
"528","84K752","Elementary",-73.976104,40.697177,"Success Academy Charter School - Fort Greene",259,149,57.5,110,42.5,3,1.2,159,61.4,76,29.3,2,0.8,2,0.8,17,6.6,0,0,52,20.1,15,5.8,"172",66.4,74.3,528
"529","75K753","High school",-73.969248,40.682576,"P.S. K753 - School for Career Development",285,80,28.1,205,71.9,5,1.8,190,66.7,73,25.6,1,0.4,0,0,16,5.6,0,0,279,97.9,28,9.8,"265",93,94.2,529
"530","84K756","K-8",-73.951559,40.673943,"Success Academy Charter School - Prospect Heights",560,303,54.1,257,45.9,15,2.7,431,77,89,15.9,3,0.5,4,0.7,18,3.2,0,0,86,15.4,6,1.1,"353",63,71.4,530
"531","84K756","K-8",-73.951559,40.673943,"Success Academy Charter School - Prospect Heights",560,303,54.1,257,45.9,15,2.7,431,77,89,15.9,3,0.5,4,0.7,18,3.2,0,0,86,15.4,6,1.1,"353",63,71.4,531
"532","84K757","Secondary School",-73.940859,40.686213,"Unity Prep Charter School",544,250,46,294,54,5,0.9,433,79.6,92,16.9,1,0.2,6,1.1,6,1.1,1,0.2,128,23.5,11,2,"419",77,80.6,532
"533","84K758","Junior High-Intermediate-Middle",-73.982624,40.656202,"Brooklyn Urban Garden Charter School",300,143,47.7,157,52.3,7,2.3,78,26,116,38.7,18,6,0,0,79,26.3,2,0.7,76,25.3,9,3,"152",50.7,51.1,533
"534","84K759","Elementary",-73.900432,40.643834,"Canarsie Ascend Charter School",958,526,54.9,432,45.1,4,0.4,867,90.5,55,5.7,8,0.8,12,1.3,9,0.9,3,0.3,97,10.1,16,1.7,"723",75.5,60.6,534
"535","19K760","Junior High-Intermediate-Middle",-73.869434,40.685852,"Highland Park Community School",363,173,47.7,190,52.3,12,3.3,38,10.5,296,81.5,1,0.3,10,2.8,6,1.7,0,0,70,19.3,53,14.6,"325",89.5,84.5,535
"536","18K763","Junior High-Intermediate-Middle",-73.925592,40.647851,"Brooklyn Science and Engineering Academy",353,132,37.4,221,62.6,5,1.4,312,88.4,26,7.4,3,0.8,2,0.6,4,1.1,1,0.3,70,19.8,7,2,"262",74.2,63.2,536
"537","19K764","High school",-73.869305,40.693002,"The Urban Assembly School for Collaborative Health",335,205,61.2,130,38.8,43,12.8,112,33.4,151,45.1,6,1.8,4,1.2,13,3.9,6,1.8,40,11.9,50,14.9,"267",79.7,81.8,537
"538","16K765","High school",-73.931604,40.678478,"Nelson Mandela High School",231,96,41.6,135,58.4,2,0.9,187,81,30,13,0,0,7,3,2,0.9,3,1.3,75,32.5,6,2.6,"186",80.5,86.5,538
"539","84K766","Elementary",-73.986867,40.692434,"The International Charter School of New York",419,210,50.1,209,49.9,20,4.8,145,34.6,75,17.9,44,10.5,3,0.7,131,31.3,1,0.2,68,16.2,8,1.9,"155",37,44,539
"540","84K769","Elementary",-73.898249,40.667985,"Hyde Leadership Charter School- Brooklyn",496,268,54,228,46,3,0.6,360,72.6,127,25.6,1,0.2,1,0.2,4,0.8,0,0,100,20.2,33,6.7,"458",92.3,89.4,540
"541","84K793","K-8",-73.90892,40.693748,"Bushwick Ascend Charter School",912,454,49.8,458,50.2,8,0.9,175,19.2,711,78,4,0.4,2,0.2,11,1.2,1,0.1,152,16.7,146,16,"770",84.4,83.5,541
"542","17K770","Elementary",-73.927979,40.663388,"P.S. 770 New American Academy",288,152,52.8,136,47.2,8,2.8,146,50.7,28,9.7,36,12.5,4,1.4,66,22.9,0,0,45,15.6,5,1.7,"136",47.2,53,542
"543","75K771","K-12 all grades",-73.955856,40.58026,"P.S. K771",467,125,26.8,342,73.2,94,20.1,143,30.6,106,22.7,7,1.5,2,0.4,114,24.4,1,0.2,466,99.8,106,22.7,"392",83.9,86.8,543
